Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugw6ilOwnHQ3L33j1Wt4AaABAg,@Mr.Warlight-z4o,"Those are horribly inaccurate. 
Fancy Lad Snack Cakes are frosted honey buns or Hostess style cakes in Fallout 3 and New Vegas, and cupcakes in Fallout 4. 
They aren't Zebra cakes or anything resembling Little Debbie's products. You failed.",2025-10-30T22:42:52Z,0,0,en
UgzfDVZHTWcsGl_1-Tp4AaABAg,@FoxfirePriestess,Making these tonight,2024-12-18T16:49:35Z,0,0,en
UgyXfCWJFKsXokfhLBp4AaABAg,@fabycho6791,Can you make Arcane food please 🙏,2024-12-01T02:49:44Z,0,0,en
Ugyg1GdtUpw0fnzkljl4AaABAg,@Citrakite,Weird given Little Debbie makes the same thing as a Zebra cake.,2024-11-30T08:12:55Z,0,0,en
UgzD748Ub7sEnsmYoGR4AaABAg,@nathanhiga1783,I'm the 26th person to watch this video!,2024-11-29T18:28:15Z,0,0,en
UgzXoP5TXX9-qNTVVI14AaABAg,@9wowable,"That’s Fallout 4, not 76. Oops",2024-11-29T17:19:15Z,0,0,en
UgyMRUXp3s4zP1EfCxt4AaABAg,@Sneakzombieko02,That's fallout 4,2024-11-28T14:32:18Z,2,0,en
Ugy3566ZB2pO1I4QIjd4AaABAg,@Laylacramer,Zebra cakes??,2024-11-27T22:53:12Z,2,0,Other
UgzLPIwVy8hYKc6Ks254AaABAg,@newto2794,mm alfajor,2024-11-27T10:46:09Z,0,0,Other
UgwdpZaTGin1YlM5DYV4AaABAg,@FightCain,Mmmmmmmmmm delicious cholesterol and carbs that can heal my bullet wounds and plasma burns.,2024-11-27T06:29:32Z,0,0,en
UgzmyCnJJCTCwBgbiLd4AaABAg,@Themonkeyman918,He made zebra cakes 😂,2024-11-26T22:38:51Z,3,0,Other
UgwHpvUvnau5-zGXEQt4AaABAg,@Illier1,what I'd do for a fancy lad right now. wait...uuggh...you know what I mean!,2024-11-26T22:10:57Z,15,0,en
UgyTb3ga5ORULnBfyUl4AaABAg,@10N1Z3D,So... what's the difference between 76 and the other Fallouts' version of this tasty pre-war cake??,2024-11-26T22:02:59Z,0,1,en
UgxwSNEOwH422p69AWV4AaABAg,@Slurpified,kinda obvious the whole time it was zebra cakes lol,2024-11-26T20:46:20Z,4,0,en
UgzTyE8uihVovVfp32p4AaABAg,@samaritan_sys,"Zebra cakes, without the overwhelming flavor of preservatives. Noice.",2024-11-26T20:31:25Z,10,0,en
UgyiQvewZoMcu1VUvY54AaABAg,@vtmarik,Still hoping for the Bagna Cauda from Babylon 5,2024-11-26T20:27:14Z,5,0,en
UgyPqklve1SP-uvvtV94AaABAg,@DudesWithACamera,So zebra cakes?,2024-11-26T20:09:29Z,93,1,Other
Ugw4HkqTwqDAueqcHY14AaABAg,@MzOvahness,Sooooo basically a zebra cake? It’s giving little Debbie’s (❤),2024-11-26T20:06:22Z,16,0,en
UgxClyA6tDK9F0cDc2d4AaABAg,@bluetinsel7099,They look just like Zebra Cakes.,2024-11-26T20:06:05Z,160,1,Other
UgxSmfUf3WlNF3x2akp4AaABAg,@danielsantiagourtado3430,Love your content! Thanks For this! Delicious dungeon please 😊😊😊😊,2024-11-26T20:05:57Z,3,0,en
UgxgDuQ4FnI6tHn6Lnl4AaABAg,@brad_hensil,People still play that game?,2024-11-26T20:04:10Z,4,2,en
UgzG6EYea3d5j6k_Ntx4AaABAg,@polymathart,Can you make Shimmer from Arcane?,2024-11-26T20:02:50Z,24,2,en
UgyXDJwH-iczyR1L7d54AaABAg,@FocalSnail08,Yummy,2024-11-26T20:02:05Z,2,0,Other
UgwzJECNz3JGtEEKtPd4AaABAg,@kgued,First,2024-11-26T20:01:51Z,1,0,Other
