Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugx8crardNjcerfBcYB4AaABAg,@Ultr8x,"Tried this game, crashed after turning frame gen on.... 30 minutes to get past the optimizing game screen.. like what..??",2025-07-22T20:16:35Z,0,0,en
UgxO9mwOSN0YR9DMrI14AaABAg,@TristanSGS,"Kinda crazy how he was getting sick of how long the first chatacabra was surviving, when they drastically reduced how long monsters stay alive in this game compared to previous games.",2025-03-19T22:20:29Z,0,0,en
Ugw3us58tL9yNZls8u54AaABAg,@R3TR0J4N,The only form of Monster Hunter Wolds I digest. Thanks Charlie the character creation had a blast laughing,2025-03-19T09:55:05Z,0,0,en
UgyksNRL2RFqZht32MB4AaABAg,@zoltire6478,the pc release of this game could rival Cyberpunk on release day,2025-03-17T14:45:54Z,0,0,en
UgwOjFhwr2rc5MZeMup4AaABAg,@Pete_Swagington,This game is so bad in Japanese 😂,2025-03-16T13:41:51Z,0,0,en
UgzTcarP8nMYCXyh_YF4AaABAg,@thepastaman3590,7:00 hawk tuah,2025-03-15T19:21:38Z,0,0,Other
Ugxwq2rurQJNYPL2GNJ4AaABAg,@elguapo3124,"58:58 mumen rider in monster form, he just didn’t fall😂😂",2025-03-15T01:04:22Z,0,0,Other
Ugy0-DQR6I2uLx3tV5V4AaABAg,@iceman4169,Great 👍🏻 video nice 👍🏻 hype!!!!!!!,2025-03-13T16:32:16Z,0,0,en
Ugzwaiel2ypJwRYLXs54AaABAg,@vishalkalicharan7710,PLEASE play Super Mario Party Jamboree!!,2025-03-10T09:13:25Z,0,0,en
UgwNB2LtRmfaXbBzroh4AaABAg,@Alfredoo_G,Nice video,2025-03-08T07:58:20Z,0,0,Other
UgzVRi1SSiNLWNb8QfJ4AaABAg,@koochiekoo9031,Not sure if he found out yet but the reason why you couldn’t use your potion in those moments was because you had a status effect that was hurting you,2025-03-04T15:50:18Z,0,0,en
UgxuLxiSwYytoOXze6x4AaABAg,@JqckoWqcko,28:18 Charlie you’re off da goop this time,2025-03-04T11:24:01Z,1,0,en
Ugw6A5onzBqbEApgOMZ4AaABAg,@JqckoWqcko,Playing monster hunter in Japanese is a crime,2025-03-04T08:24:14Z,0,0,en
UgxEwvwPb3I6oUPGUiN4AaABAg,@JohnyLemillion,Bro drank his own words with that potion. 😂,2025-03-02T08:05:22Z,0,0,en
UgxCb9RaImT-acQO6QV4AaABAg,@mikeysense2200,song in beginning?,2025-03-01T23:16:42Z,0,0,Other
UgzC5q_fZ8PIbrUWNgV4AaABAg,@finzz7330,Is that Jesus Christ?,2025-03-01T21:56:04Z,0,0,en
UgzjDej728uE4aExE2d4AaABAg,@frogmouthhole,Love the steller blade music while you wait 🤣,2025-03-01T17:49:36Z,0,0,en
Ugzzc63rr79_Awj3IHR4AaABAg,@fookoff8660,This guy sucks in this game,2025-03-01T15:11:11Z,0,0,en
UgxgUVUsQbYwCGchYPd4AaABAg,@yoshi8011,name of the music from the start?,2025-03-01T14:37:02Z,0,0,en
UgyboYi3LxNbta8-Ju14AaABAg,@WubbyPunch,No fucking way he made Muhammad 😂,2025-03-01T13:20:36Z,3,1,en
UgwMMBArigBmB8RruYJ4AaABAg,@kujojotarostandoceanman2641,have you download the 4k texture pack yet?,2025-03-01T06:39:12Z,0,0,en
UgwKSgN220RuCjvmAZl4AaABAg,@hacknslash2110,dude stop playing games in japanese you are NOT JAPANESE!,2025-03-01T03:32:45Z,2,0,en
UgxpWWysrG1fEGXH8N14AaABAg,@F0RG077,"This game is straight dog turd, also a ridiculous amount of DLC paid content. Incomplete trash from CapCom as usual",2025-03-01T02:55:14Z,1,0,en
UgwJ4KvyvVLQSsRIuFB4AaABAg,@Shimmypart2,Only thing I hate is u can’t change fov on console,2025-02-28T23:05:04Z,1,1,en
UgzrnunfV2kJomAFCkR4AaABAg,@WhyNotDeanCV,33:58,2025-02-28T21:54:52Z,0,0,Other
UgzNgQwt2dnoiQZLO054AaABAg,@hydroxustroubl3,"honestly, great game so far. but as a MH World player that played the old MH Gen, the palico talking is so weird.",2025-02-28T18:50:28Z,0,3,en
UgwHiwJve73SDgVmq1h4AaABAg,@Art_tickler,His character reminds me of how kingdom hearts 3 censored Winnie the pooh,2025-02-28T18:18:06Z,0,0,en
Ugye7Ic1KcHwJwfZBjF4AaABAg,@Art_tickler,13:35 why hasn’t he watched Daima?,2025-02-28T17:38:35Z,0,0,en
UgwdaTyt77Mvmd1dWXB4AaABAg,@SimplyZaku,i thought he was quitting youtube 💀,2025-02-28T17:36:32Z,0,0,en
UgwiIt63MnG2o6wN_kh4AaABAg,@dressedmaniac,no,2025-02-28T17:19:48Z,0,0,Other
Ugyc8ck8R4-Fgc3WcKl4AaABAg,@endlesslyfe111,Has he ever played Monster Hunter before??,2025-02-28T17:16:41Z,0,4,en
UgxANZ7FFv4bKDagE7V4AaABAg,@samemz,i love listening to shitty anime music when i want to watch charlie’s stream,2025-02-28T16:51:26Z,0,0,en
UgwiHQByZWe7E0rAlOh4AaABAg,@OkNEDDO,because there is no american talent anymore if you noticed i feel like people stop caring along time ago and im one of them i couldnt care less about movies anymore politics and activism ruined everything for me. when people say oh your a libtard or a racist rebublican im like....ok and? who cares?,2025-02-28T16:41:10Z,2,0,en
UgzjwgewPZjMlG8xSvh4AaABAg,@grammy5605,What is the song/ost that plays around the character creation stage?,2025-02-28T16:33:04Z,0,0,en
UgwBDnnbDqaiyk0hsNZ4AaABAg,@spacekiller1195,38:07 dude 😂😂😂😂 so fkin stupid but hilarious,2025-02-28T16:05:47Z,1,0,en
UgyIbP8n45654kkTvW54AaABAg,@scaredlittleboy7086,bro made muhammad...,2025-02-28T15:35:32Z,0,0,Other
UgwetIa_VGXFtkYy4Dh4AaABAg,@lopezsiesta3612,what was the song at the start of stream?,2025-02-28T15:23:19Z,0,0,en
UgwN8-Qe6nR-CN4QKJF4AaABAg,@Fabrice1970,This is not a good game… looking lame,2025-02-28T15:11:00Z,0,0,en
Ugzzl1PgTQVTXAKEoz94AaABAg,@ddnnmo,"I missed the last 20 minutes, I had to wake up early as well. Never finished Monster Hunter either but I came back to watch and was not disappointed at the jokes by the end of stream lol
This one might be worth a buy after performance fixes (happened with DD2 and was an engine issue that got fixed).",2025-02-28T15:02:34Z,1,0,en
UgzIMvpc1vEFeVR3-Qd4AaABAg,@twisty2u676,Playing on a slideshow but still having a blast!,2025-02-28T14:50:18Z,0,0,en
UgzLlJYcezWCuj2brJd4AaABAg,@alabaster3535,"Idk but I'm having no problems so far with the performance, running on a 3060 and ryzen 5 5600",2025-02-28T14:46:25Z,0,0,en
Ugzc7JFpVAr3UmJMeQh4AaABAg,@Screlz,Looks like the alien bounty hunter from critters. Just way brighter.,2025-02-28T14:45:50Z,1,0,en
Ugyv5le49yNTNzg4DA14AaABAg,@mellowyellow7518,I thought he was having graphical issues.... Nope... Bro just made a walking Lightbulb 😂😂,2025-02-28T14:40:28Z,13,0,en
Ugxi5LqNd-DmBht4Igl4AaABAg,@jimmy-yeet2305,"Hope he continues playing, ik the games are pretty easy at the start but the more you progress the better you get and the harder the monsters get. High rank is when you really start facing challenges like tempered monsters and such",2025-02-28T14:37:51Z,1,2,en
UgzxAPXD3L8m1bi1udh4AaABAg,@SwallowMyKoolaid,Bro what’s that song playing in the beginning of the stream,2025-02-28T14:34:07Z,1,2,en
UgxTBoCBinMzG9dddNh4AaABAg,@Ace-3.,God bless and much love to all ❤️🙏 Have a wonderful day,2025-02-28T14:16:55Z,0,0,en
UgzY6IQdf4-5q5veoTF4AaABAg,@jeremiahstautzenberger2236,Don’t know if you know this already but if you call your seikret after getting hit and knocked down by a monster its a quick recovery,2025-02-28T14:04:57Z,2,0,en
UgwcvyQKJfcewhfRaap4AaABAg,@owensmith4159,Please keep playing I just got done killing Ray Dau with my homies,2025-02-28T13:59:11Z,0,0,en
UgwxGJz9rgC4XFZfkal4AaABAg,@Bluedinoaur,"I didnt catch the stream, is this his first monster hunter?",2025-02-28T13:58:25Z,1,0,en
Ugyi2HIL1fvRSDHaQXh4AaABAg,@LuxZoltan,"Watching his caracther in the cutscenes, the sapphire star it's back literally",2025-02-28T13:40:40Z,85,0,en
Ugx-tAxqWJ2QpitWZzh4AaABAg,@ApolloSpice,5:40 House judiciary committee I think,2025-02-28T13:38:06Z,1,0,en
UgxrRyUn-0vPzA1TMDN4AaABAg,@MasterStockTraderHmClock,"Hi, This Master Trader HmClock. I have narrowed down my list of thousands of gurus to like 100 gurus and others. If you received this message you are on this list. All on said list will receive free live signals and communications. Prepare for 50% gains in short time. 

Thanks,
 Grandmaster Stock Trader HmClock NPC
L5r",2025-02-28T13:36:54Z,0,0,en
UgzKAf6ns6UgE7ED34l4AaABAg,@joeyvindictive3552,Monster hunter here is wilds,2025-02-28T13:35:02Z,2,0,Other
UgxghJcGdf8jk4jRKid4AaABAg,@henkaiiii,wanna get this soo bad (only played World for a few months) but since im on PC im scared </3,2025-02-28T13:26:40Z,1,0,en
Ugwd8AmbUEf0zFPcqh94AaABAg,@haytham4837,I refunded this game because of the dogshit performance on pc.,2025-02-28T13:26:00Z,0,0,en
Ugxq8kfTsYVXm0H9ilR4AaABAg,@Tryton_Jim,"A tip for PC with issues, update driver and restart PC. Havent had issues since",2025-02-28T12:56:34Z,1,0,en
